4/5 14:24:49.263  SPELL_PERIODIC_HEAL,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,42771,"Second Wind",0x1,630,630,0,nil
4/5 14:24:49.426  SPELL_CAST_START,0x000000000013B13C,"Nundo",0x512,0x0000000000000000,nil,0x80000000,42897,"Arcane Blast",0x40
4/5 14:24:49.426  SWING_DAMAGE,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,0x0000000000117351,"Ironmate",0x511,2014,0,1,0,0,0,nil,nil,nil
4/5 14:24:49.426  DAMAGE_SHIELD,0x0000000000117351,"Ironmate",0x511,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,53307,"Thorns",0x8,197,0,8,0,0,0,nil,nil,nil
4/5 14:24:49.427  SPELL_DAMAGE,0x0000000000117351,"Ironmate",0x511,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,59653,"Damage Shield",0x1,208,0,1,0,0,0,nil,nil,nil
4/5 14:24:49.427  SPELL_CAST_SUCCESS,0x0000000000160F5B,"Histera",0x512,0xF130005E49000018,"Dark Ranger Marrah",0xa48,49909,"Icy Touch",0x10
4/5 14:24:49.427  SPELL_DAMAGE,0x0000000000160F5B,"Histera",0x512,0xF130005E49000018,"Dark Ranger Marrah",0xa48,49909,"Icy Touch",0x10,1852,0,16,0,0,0,1,nil,nil
4/5 14:24:49.427  SPELL_PERIODIC_HEAL,0x0000000000160F5B,"Histera",0x512,0x0000000000160F5B,"Histera",0x512,50475,"Blood Presence",0x1,81,81,0,nil
4/5 14:24:49.427  SPELL_AURA_APPLIED,0x0000000000160F5B,"Histera",0x512,0x0000000000160F5B,"Histera",0x512,50449,"Bloody Vengeance",0x1,BUFF
4/5 14:24:49.584  SPELL_CAST_SUCCESS,0x0000000000117351,"Ironmate",0x511,0x0000000000000000,nil,0x80000000,47502,"Thunder Clap",0x1
4/5 14:24:49.585  SPELL_DAMAGE,0x0000000000117351,"Ironmate",0x511,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,47502,"Thunder Clap",0x1,637,0,1,0,0,0,nil,nil,nil
4/5 14:24:49.585  SPELL_DAMAGE,0x0000000000117351,"Ironmate",0x511,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,47502,"Thunder Clap",0x1,637,0,1,0,0,0,nil,nil,nil
4/5 14:24:49.585  SPELL_AURA_REMOVED,0xF130005E49000018,"Dark Ranger Marrah",0xa48,0xF130005E49000018,"Dark Ranger Marrah",0xa48,34189,"Stealth",0x1,BUFF
4/5 14:24:49.585  SPELL_AURA_APPLIED,0x0000000000160F5B,"Histera",0x512,0xF130005E49000018,"Dark Ranger Marrah",0xa48,55095,"Frost Fever",0x10,DEBUFF
4/5 14:24:49.586  SPELL_AURA_APPLIED,0x0000000000117351,"Ironmate",0x511,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,47502,"Thunder Clap",0x1,DEBUFF
4/5 14:24:49.586  SPELL_AURA_APPLIED,0x0000000000117351,"Ironmate",0x511,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,47502,"Thunder Clap",0x1,DEBUFF
4/5 14:24:49.688  SPELL_CAST_FAILED,0x0000000000117351,"Ironmate",0x511,0x0000000000000000,nil,0x80000000,47502,"Thunder Clap",0x1,"Not yet recovered"
4/5 14:24:49.837  SPELL_AURA_REMOVED,0x0000000000117351,"Ironmate",0x511,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,7922,"Charge Stun",0x1,DEBUFF
4/5 14:24:50.245  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48451,"Lifebloom",0x8,534,0,0,nil
4/5 14:24:50.251  SPELL_PERIODIC_HEAL,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,42771,"Second Wind",0x1,630,0,0,nil
4/5 14:24:50.717  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48441,"Rejuvenation",0x8,2577,1097,0,nil
4/5 14:24:50.717  SPELL_AURA_REFRESH,0x000000000012DC52,"Erle",0x512,0x000000000012DC52,"Erle",0x512,67358,"Rejuvenating",0x8,BUFF
